Id,PROPN,CCONJ,VERB,NOUN,ADP,DET,PUNCT,SPACE,Tag
,80.0,16.0,32.0,64.0,96.0,16.0,16.0,16.0,
,,,,,,,,16.0,
,,,,16.0,16.0,16.0,16.0,,
,16.0,,48.0,48.0,32.0,,32.0,,
,32.0,,64.0,64.0,80.0,32.0,48.0,16.0,
,32.0,,32.0,32.0,32.0,16.0,32.0,16.0,
,,,,,,,,16.0,
,26.0,,,,13.0,,,,
,91.0,13.0,52.0,78.0,78.0,39.0,91.0,,
,13.0,,39.0,91.0,65.0,26.0,13.0,,
,,,39.0,39.0,39.0,26.0,26.0,,
,52.0,,26.0,65.0,26.0,52.0,52.0,,
,,,,,,,13.0,,
,65.0,13.0,65.0,117.0,91.0,52.0,91.0,,
,,13.0,78.0,143.0,52.0,52.0,39.0,,
,,13.0,26.0,26.0,13.0,13.0,13.0,,
,,,,,,,13.0,,
,,,13.0,39.0,26.0,13.0,13.0,,
,,13.0,13.0,52.0,26.0,26.0,,,
,,,,,,,,13.0,
,28.0,14.0,42.0,56.0,42.0,14.0,14.0,,
,,,,,,,,14.0,
,140.0,,14.0,70.0,126.0,42.0,28.0,,
,98.0,,56.0,70.0,70.0,42.0,14.0,14.0,
,,14.0,42.0,98.0,56.0,42.0,28.0,,
,,14.0,56.0,98.0,42.0,42.0,28.0,14.0,
,,,,14.0,14.0,42.0,14.0,14.0,
,,,14.0,70.0,42.0,42.0,28.0,14.0,
,,,28.0,56.0,28.0,28.0,56.0,,
,14.0,,28.0,28.0,14.0,28.0,28.0,,
,14.0,28.0,56.0,56.0,14.0,42.0,28.0,14.0,
,,14.0,28.0,28.0,28.0,28.0,14.0,,
,,,28.0,14.0,14.0,14.0,14.0,14.0,
,,,,,,,,14.0,
,120.0,,8.0,8.0,40.0,16.0,48.0,,
,40.0,8.0,8.0,48.0,72.0,16.0,8.0,,
,48.0,8.0,8.0,16.0,40.0,24.0,16.0,,
,48.0,,24.0,40.0,48.0,32.0,8.0,,
,,,8.0,24.0,16.0,8.0,8.0,,
,24.0,16.0,32.0,128.0,120.0,32.0,32.0,,
,,,16.0,40.0,40.0,8.0,8.0,,
,16.0,,8.0,48.0,48.0,24.0,8.0,8.0,
,40.0,,20.0,60.0,80.0,,40.0,,
,,,,,,,,20.0,
,80.0,,20.0,40.0,80.0,20.0,80.0,,
,20.0,,40.0,20.0,20.0,20.0,20.0,,
,,,,,,,,,
,20.0,20.0,20.0,80.0,40.0,,20.0,,
,,,,,,,,20.0,
,40.0,,100.0,140.0,120.0,60.0,60.0,,
,60.0,,40.0,100.0,100.0,40.0,40.0,20.0,
,,,,,,,,20.0,
,20.0,,20.0,40.0,20.0,20.0,60.0,,
,,20.0,20.0,40.0,40.0,20.0,20.0,,
,,,20.0,,,,20.0,20.0,
,20.0,,20.0,20.0,20.0,,20.0,,
,,,20.0,80.0,40.0,40.0,20.0,,
,40.0,,,100.0,40.0,80.0,40.0,,
,,20.0,20.0,80.0,40.0,80.0,20.0,20.0,
,,,,,20.0,,40.0,,
,,,,,,,20.0,,
,,,,,,,,20.0,
,30.0,,18.0,84.0,78.0,18.0,18.0,,
,24.0,,24.0,48.0,54.0,18.0,24.0,,
,12.0,,18.0,48.0,54.0,24.0,12.0,,
,,,12.0,18.0,6.0,18.0,6.0,,
,30.0,,30.0,90.0,78.0,48.0,24.0,,
,,,6.0,6.0,,6.0,,6.0,
,18.0,6.0,18.0,24.0,12.0,18.0,6.0,,
,,,,,,,,6.0,
,54.0,6.0,42.0,78.0,42.0,54.0,42.0,6.0,
,,,,,,,,6.0,
,6.0,6.0,24.0,30.0,24.0,6.0,6.0,,
,,,,,,,,6.0,
,65.0,5.0,30.0,30.0,45.0,5.0,40.0,,
,5.0,,10.0,15.0,20.0,5.0,5.0,,
,,,5.0,15.0,10.0,5.0,5.0,,
,35.0,,10.0,20.0,30.0,5.0,15.0,,
,35.0,10.0,10.0,5.0,15.0,5.0,5.0,5.0,
